2	gates-0-2
3	gates-1-3
4	gates-1-2
5	gates-1-2
6	gates-1-4
7	gates-1-1
8	gates-1-1
9	gates-2-3
10	gates-2-2
11	gates-2-3
12	gates-2-2
13	gates-2-1
14	gates-2-1
19	gates-3-4
21	gates-3-1
22	gates-3-1
23	gates-4-3
24	gates-4-2
25	gates-4-2
26	gates-4-4
27	gates-4-1
28	gates-4-1
29	gates-5-1
30	gates-5-1
37	cisx-3-1
38	cisx-1-1
39	cisx-2-1
40	cisx-0-1
41	cis
42	cis
43	cis
44	cis
45	cis
46	cis
47	cis
48	cis
49	cis
50	cis
61	packard-0-2
62	packard-0-2
63	packard-0-2
64	packard-0-1
65	packard-1-2
66	packard-1-2
67	packard-1-1
68	packard-2-2
69	packard-2-2
70	packard-2-1
71	packard-2-1
72	packard-3-2
73	packard-3-2
74	packard-3-2
75	packard-3-1
gates-mdf-1 gates-0-2
gates-mdf-1 gates-1-1
gates-mdf-1 gates-1-2
gates-mdf-1 gates-1-3
gates-mdf-1 gates-1-4
gates-mdf-1 gates-2-1
gates-mdf-1 gates-2-2
gates-mdf-1 gates-2-3
gates-mdf-1 gates-3-1
gates-mdf-1 gates-3-4
gates-mdf-1 gates-4-1
gates-mdf-1 gates-4-2
gates-mdf-1 gates-4-3
gates-mdf-1 gates-4-4
gates-mdf-1 gates-5-1
cisx-1-1 cisx-3-1
cisx-1-1 cisx-2-1
cisx-1-1 cisx-0-1
cisx-1-1 cis
packard-0-1 packard-0-2
packard-0-1 packard-1-1
packard-0-1 packard-1-2
packard-0-1 packard-2-1
packard-0-1 packard-2-2
packard-0-1 packard-3-1
packard-0-1 packard-3-2
packard-0-1 gates-mdf-1
cisx-1-1 gates-mdf-1
